full_address,자치구,대표지번,lon,lat,geocode_error,사업번호,법정동,사업구분,운영구분,추진위원회/조합명,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고,위치도,조감도,배치도,조합사무실 주소,조합사무실 전화번호
서울특별시 강동구 천호동 467-61,강동구,천호동 467-61,127.1196086,37.54145058,,11740-900001290,천호동,재개발(주택정비형),조합,천호 A1-1구역 공공재개발 정비사업 주민대표회의,조합설립인가,운영,216,천호 A1-1구역 공공재개발 정비사업,강동구 천호동 467-61,26548.97,,제3종일반주거지역,,26548.97,5389.25,0,0,0,0,21159.72,공동주택 및 부대복리시설,50,359.94,125,40,,480,189,213,78,267,40,,227,,/servlet/image?url=images/assc/2025/03/202503121522181741760538457.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776091.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776481.png,"서울특별시 강동구 구천면로 153, 용강빌딩 401호 (천호동)",02-474-4230
서울특별시 성북구 석관동 332-336,성북구,석관동 332-336,127.0610743,37.60575025,,11290-900001293,석관동,가로주택정비,조합,석관2의2구역 가로주택정비사업,조합설립인가,운영,99,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 중구 신당동 85,중구,신당동 85,127.0171285,37.56576595,,11140-100002003,신당동,재개발(주택정비형),조합,신당제11주택재개발정비사업조합,조합해산,운영,92,신당제11구역주택재개발정비사업조합,신당5동 85-10번지,8119,24058.75,제2종일반주거지역,제2종 일반주거지역,6439.8,946.4,732.8,,0,,,공동주택,26.42,248.85,46,16,3,176,75,101,,0,,,,,/servlet/image/assc/2011/05/201105161443101305524590205.jpg,/servlet/image?url=images/assc/2018/10/201810081651031538985063706.jpg,/servlet/image/assc/2014/12/201412171620221418800822298.jpg,센트라스153타워 8층 805호,02-2237-4881
서울특별시 양천구 신정동 327,양천구,신정동 327,126.8650027,37.51419105,,11470-900001294,신정동,재건축,조합,목동13단지아파트 재건축정비사업(임시),조합설립인가,운영,2353,목동13단지아파트 재건축정비사업,양천구 신정동 327-0,178919.9,817275.55,제3종일반주거지역,지구단위계획구역,156338.2,9935.8,5000,6654.3,,,992,공동주택 근린생활시설,25.05,299.96,,49,3,3284,365,1757,1162,568,,,568,,/servlet/image?url=images/assc/2025/05/202505141042541747186974813.jpg,/servlet/image?url=images/assc/2025/05/202505091613201746774800130.png,/servlet/image?url=images/assc/2025/05/202505091613201746774800382.png,"서울특별시 중구 삼일대로 343, 16층 (저동1가)",02-6362-1066
서울특별시 영등포구 신길동 314-14,영등포구,신길동 314-14,126.9054782,37.5060234,,11560-900001295,신길동,재개발(주택정비형),공공지원자,신길16-2구역 주택재개발,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 성북구 하월곡동 70-1,성북구,하월곡동 70-1,127.0352438,37.60730049,,11290-900001296,하월곡동,재개발(주택정비형),공공지원자,하월곡1구역 주택정비형 재개발사업,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 관악구 신림동 419,관악구,신림동 419,,,NO_RESULT,11620-900001297,신림동,재개발(주택정비형),공공지원자,신림6구역 재개발정비사업,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 중랑구 면목동 572-1,중랑구,면목동 572-1,127.0869401,37.58316636,,11260-900001298,면목동,재개발(도시정비형),공공지원자,(임시) 사가정역세권 도시정비형 재개발사업,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 양천구 신월동 144-20,양천구,신월동 144-20,126.8305142,37.53489179,,11470-900001299,신월동,가로주택정비,조합,신월1동 144-20번지 일원 가로주택정비사업조합(신월1동 모아타운 1구역),조합설립인가,운영,204,신월1동 144-20번지 일원 가로주택정비사업조합(신월1동 모아타운 1구역),양천구 신월동 144-20,11486.9,48297.97,제2종 일반주거지역,,,,,,,,,공동주택 및 부대복리시설,30.9,249.95,,13,2,240,49,191,,61,,55,6,,/servlet/image?url=images/assc/2025/07/202507031024211751505861325.png,/servlet/image?url=images/assc/2025/07/202507031021341751505694185.jpg,,"서울특별시 양천구 가로공원로 148, 202호 (신월동)",02-6342-1440
서울특별시 동작구 본동 148-2,동작구,본동 148-2,126.9519399,37.51152513,,11590-900001300,본동,소규모재건축,조합,극동강변소규모재건축정비사업조합,조합설립인가,운영,136,극동강변소규모재건축정비사업조합,동작구 본동 148-2,5365,43622.75,도시지역 제3종일반주거지역(준주거 상향 적용), ,5365,0,0,0,0,0,0,공동주택,26.41,467.01,120,29,5,237,1,235,1,0,,,,,/servlet/image?url=images/assc/2025/05/202505221301421747886502767.jpg,/servlet/image?url=images/assc/2025/05/202505221301421747886502910.png,/servlet/image?url=images/assc/2025/05/202505221301421747886502952.png,"서울특별시 동작구 노량진로26길 16-1, 2층 (본동)",02-3280-1560
서울특별시 영등포구 신길동 1583-1,영등포구,신길동 1583-1,,,NO_RESULT,11560-100003008,신길동,재개발(주택정비형),조합,신길5재정비촉진구역 주택재개발정비사업조합,조합해산,운영,567,신길5재정비촉진구역,영등포구 신길동 1583-1번지,76602,233508.68,제2종일반주거지역,재정비촉진지구,62866.2,6622.9,3606.1,2844.5,,,662.3,아파트 및 부대복리시설,19.49,264.1,94,29,2,1260,364,789,107,286,132,119,35,,/servlet/image/assc/2011/11/201111251048561322185736287.jpg,/servlet/image/assc/2014/04/201404141526401397456800492.jpg,/servlet/image/assc/2014/04/201404141531091397457069501.jpg,"서울특별시 영등포구 신길로 71, 3층 (신길동)",02-844-1578
서울특별시 영등포구 당산동4가 91,영등포구,당산동4가 91,126.8961323,37.52988465,,11560-900000008,당산동,재건축,조합,유원제일1차아파트 주택재건축정비사업조합,착공신고,운영,366,유원제일1차아파트 주택재건축정비사업조합,영등포구 국회대로 29길13 유원제일1차아파트,17693.6,83429.41,준공업 지역,,15801.6,392,1100,,,,400,아파트및부대시설복리시설,24.2,299.99,25,25,3,483,268,215,,71,,71,,,/servlet/image?url=images/assc/2020/02/202002071651061581061866808.jpg,/servlet/image/assc/2020/01/202001211036581579570618423.jpg,/servlet/image/assc/2020/01/202001211037391579570659632.jpg,서울특별시 영등포구 국회대로29길 16 (당산동4가),02-6337-1577
서울특별시 영등포구 문래동2가 35,영등포구,문래동2가 35,126.8916008,37.51258899,,11560-900000009,문래동,재건축,조합,남성아파트 주택재건축정비사업조합,사업시행인가,운영,384,남성아파트,영등포구 문래동2가 35번지,15669.1,66161.19,준공업지역,,13956.3,0,1281.7,0,431.1,,0,주택,21.14,299.15,80,28,2,436,279,157,,52,52,,,,/servlet/image/assc/2011/11/201111211755281321865728554.jpg,/servlet/image/assc/2024/05/202405221503141716357794648.jpg,/servlet/image/assc/2024/05/202405201622501716189770041.jpg,"서울특별시 영등포구 도림로 469, 문래빌딩, 2층 202호 (문래동4가)",02-2068-3742
서울특별시 영등포구 여의도동 37,영등포구,여의도동 37,126.923972,37.52048218,,11560-900000041,여의도동,재건축,추진위원회,미성아파트 주택재건축정비사업 조합설립추진위원회,조합설립추진위원회승인,운영,655,미성아파트 주택재건축정비사업,여의도동 37,40882,0,제3종 일반주거지역,아파트지구,,,,,,,,,,,,,0,0,,,,0,,,,미정,/servlet/image/assc/201001291032551264728775981.jpg,,,"서울특별시 영등포구 의사당대로 110, 관리사무소내 추진위원회 사무실 (여의도동, 미성아파트)",02-780-3710
서울특별시 영등포구 영등포동7가 145-8,영등포구,영등포동7가 145-8,,,NO_RESULT,11560-100004014,영등포동,재개발(도시정비형),조합청산,영등포1-4재정비촉진구역 도시환경정비사업조합,조합청산,운영,397,영등포1-4구역 도시환경정비사업,영등포구 영등포동7가 145-8,58131.8,,,,38581,14045.8,2959,0,2546,0,0,"근린생활,업무,주거",52,3.7,210,35,3,0,,,,0,,,,,/servlet/image/assc/2010/06/201006141554491276498489890.jpg,/servlet/image/assc/2017/07/201707311436451501479405682.jpg,/servlet/image/assc/2017/07/201707311444191501479859114.jpg,한흥빌딩 402호,02-2069-0466
서울특별시 종로구 신영동 158-2,종로구,신영동 158-2,126.9625122,37.59999593,,11110-100002000,신영동,재개발(주택정비형),조합,신영제1구역 주택재개발정비사업조합,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,36551.55,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.65,163.63,23,7,3,199,6,154,39,0,,,,,/servlet/image/assc/201003101141151268188875576.jpg,/servlet/image?url=images/assc/2025/09/202509051144201757040260272.jpg,/servlet/image?url=images/assc/2025/09/202509051144201757040260963.jpg,서울특별시 종로구 자하문로42길 29 (신영동),02-395-0045
서울특별시 종로구 무악동 71-1,종로구,무악동 71-1,,,NO_RESULT,11110-100002009,무악동,재건축,조합청산,무악연립제2주택재건축정비사업조합,조합청산,운영,60,무악연립제2주택재건축정비사업조합,종로구 무악동 71-1 외 13필지,7868.52,28078.38,제3종일반주거지역,,,1410.07,1174.8,557.2,,,,공동주택,28.36,245.45,133,17,3,167,,134,33,0,,,,,/servlet/image/assc/201002171539301266388770905.jpg,/servlet/image/assc/2009/12/200912301628331262158113234.jpg,/servlet/image/assc/2010/03/201003301443011269927781836.jpg,,02-736-4612
서울특별시 중랑구 면목동 1-4,중랑구,면목동 1-4,127.1005742,37.58932832,,11260-900001283,면목동,가로주택정비,조합,면목동 1-4번지 일원 가로주택정비사업,조합설립인가,운영,157,면목동 1-4번지 일원 가로주택정비사업,중랑구 면목동 1-4,1157.33,45355.7,,,,,,,,,,공동주택,34.91,249.01,,13,2,96,,96,,0,,,,,/servlet/image?url=images/assc/2025/03/202503041404371741064677610.jpg,,,"서울특별시 중랑구 용마산로94길 4, 2층 (면목동)",02-434-8915
서울특별시 중구 만리동2가 176-1,중구,만리동2가 176-1,,,NO_RESULT,11140-100002004,만리동,재개발(주택정비형),조합,만리제2주택재개발정비사업조합,조합해산,운영,861,만리제2주택재개발정비구역,중구 만리동2가 176-1,67199.3,192785.18,제1종일반주거지역/제2종일반주거지역,제3종일반주거지역/일반상업지역중심지미관지구,55172.3,3412.6,7804.6,0,,,809.8,공동주택 및 부대복리시설,19.61,234.27,,25,5,1113,413,681,19,228,149,79,,,/servlet/image?url=images/assc/2024/05/202405142040411715686841091.jpg,/servlet/image?url=images/assc/2024/05/202405102145131715345113389.png,/servlet/image?url=images/assc/2024/05/202405142040411715686841362.jpg,"서울특별시 중구 만리재로 175, 401동 213호 매장 외 사무실 (만리동2가, 서울역센트럴자이)",02-362-2782
서울특별시 중구 신당동 321-1,중구,신당동 321-1,127.014795,37.55947623,,11140-100002005,신당동,재개발(주택정비형),조합,신당제8구역 재개발정비사업조합,관리처분인가,운영,544,신당제8구역주택재개발 정비사업,중구 신당동 321번지 일대,58651.3,189092.58,2종일반주거지역,,45184,7992,3699.3,,,470,1306,공동주택(아파트)/및 부대복리시설,17.68,244.17,84,28,4,1030,513,449,68,183,90,80,13,,/servlet/image?url=images/assc/2018/04/201804121354301523508870409.jpg,/servlet/image/assc/2019/06/201906270026031561562763974.jpg,/servlet/image?url=images/assc/2024/05/202405101504191715321059096.jpg,"서울특별시 중구 다산로22길 26, 3층 (신당동)",02-2231-9559
서울특별시 용산구 후암동 142-4,용산구,후암동 142-4,126.9746998,37.54873824,,11170-100005004,후암동,재건축,추진위원회,후암동제1구역 주택재건축정비사업 조합설립추진위원회,조합설립추진위원회승인,운영,844,후암동제1구역주택재건축정비사업조합설립추진위원회,용산구 후암동 142-4번지 일대,100000,,용산구 후암1구역,일반주거지역,,,,,,,,일반주거,,,,,,0,,,,0,,,,계획 수립 중,/servlet/image?url=images/assc/2023/12/202312261452281703569948289.png,,,"서울특별시 용산구 두텁바위로 11, 203호 (갈월동)",010-4415-4012
서울특별시 용산구 이촌동 300-11,용산구,이촌동 300-11,126.9782417,37.51715823,,11170-100005010,이촌동,재건축,조합,왕궁아파트 주택재건축 정비사업조합,조합설립인가,운영,249,왕궁아파트주택재건축정비사업조합,용산구 이촌1동 300-11,17621.5,89654.44,3종 일반주거지역,역사문화미관지구 아파트지구,17621.5,38.5,,,,,,공동주택 및 부대복리시설,18.22,249.43,175,49,4,260,10,,250,58,,,58,,/servlet/image/assc/2011/12/201112050030441323012644079.jpg,/servlet/image/assc/2011/12/201112050030441323012644219.jpg,/servlet/image?url=images/assc/2025/09/202509261101231758852083613.jpg,왕궁아파트단지 내,02-794-1987
서울특별시 동작구 신대방동 600-14,동작구,신대방동 600-14,126.9116805,37.48959015,,11590-900000614,신대방동,재개발(도시정비형),조합,신대방역세권 재개발정비사업조합,조합설립인가,운영,587,신대방역세권 도시정비형 재개발정비사업,동작구 신대방동 600-14,587.47,222935.61,준주거지역 3종일반주거지역,,44480,6253,3110,,12940,,493,공동주택/판매시설/근린생활시설,30.62,333.97,100,30,6,1024,550,394,80,140,20,30,90,2015년 정비도서 기준으로 실 사업 시 변경될 수 있음,/servlet/image?url=images/assc/2025/05/202505161040111747359611214.png,/servlet/image?url=images/assc/2022/04/202204261502391650952959209.png,/servlet/image?url=images/assc/2022/04/202204261502391650952959372.png,401호,02-848-5100
서울특별시 송파구 거여동 234,송파구,거여동 234,,,NO_RESULT,11710-100002007,거여동,재개발(주택정비형),조합,거여2재정비촉진구역제2지구 주택재개발정비사업조합,조합해산,운영,670,거여2-2지구,송파구 거여동 234-0,61850.1,179787.07,3종일반주거지역,재정비촉진지구,43359.3,11781.6,5470,436.7,18490.8,,802.5,공동주택(아파트)및 부대복리시설,30,277.1,94,33,4,972,305,544,123,227,110,94,23,,/servlet/image/assc/2010/03/201003311201091270004469989.jpg,/servlet/image/assc/2012/05/201205311500451338444045176.jpg,/servlet/image/assc/2012/05/201205311453471338443627412.jpg,"서울특별시 송파구 거마로17길 13, 2층(거여동) (거여동)",02-407-8353
서울특별시 동대문구 청량리동 205,동대문구,청량리동 205,127.0429868,37.58966815,,11230-100003002,청량리동,재개발(주택정비형),조합,청량리제6구역주택재개발정비사업조합,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200,,,,700,공동주택 및 부대복리시설,25,234,72,16,,1242,543,612,87,255,78,,177,,/servlet/image?url=images/assc/2021/09/202109081632161631086336722.png,/servlet/image/assc/2024/11/202411221107111732241231953.jpg,/servlet/image/assc/2024/11/202411221109151732241355188.jpg,"서울특별시 동대문구 홍릉로 87, 3층 (스피트메이트 건물) (청량리동)",02-3295-2277
서울특별시 동대문구 답십리동 25,동대문구,답십리동 25,,,NO_RESULT,11230-100003005,답십리동,재개발(주택정비형),조합,답십리제14구역주택재개발정비사업조합,조합해산,운영,405,답십리제14주택재개발구역,동대문구 답십리동 25-0,32729.7,98513.32,도시지역,제2종일반주거지역,27367.7,3253,,2109,,,,아파트,20.92,245.92,60,20,2,662,516,146,,140,60,60,20,,/servlet/image/assc/2011/07/201107051749351309855775536.jpg,/servlet/image/assc/2013/08/201308291610031377760203183.jpg,/servlet/image/assc/2013/08/201308291610591377760259517.jpg,서울시 동대문구 한천로 43 (답십리동 12-266 리더스빌딩 2층 202호),02-2245-6006
서울특별시 영등포구 당산동4가 92,영등포구,당산동4가 92,126.896135,37.52896689,,11560-900000771,당산동,소규모재건축,조합,당산현대2차아파트 소규모재건축정비사업조합,관리처분인가,운영,117,당산현대2차아파트 소규모재건축정비사업조합,영등포구 당산동4가 92-0,6108.7,29219.88,준공업지역 ,,,,,,,,,공동주택,21.75,249.93,,20,3,145,,145,,0,,,,,/servlet/image?url=images/assc/2021/03/202103051358241614920304848.png,/servlet/image?url=images/assc/2023/07/202307261259171690343957313.jpg,/servlet/image?url=images/assc/2023/07/202307261256141690343774556.jpg,"서울특별시 영등포구 국회대로29길 5, 910호 (당산동4가, 현대아파트)",02-2633-3935
서울특별시 강북구 번동 430-27,강북구,번동 430-27,127.0356352,37.63540623,,11305-900000786,번동,가로주택정비,조합,번동 3구역 가로주택 정비사업 조합,사업시행인가,운영,58,번동3구역 가로주택정비사업,강북구 번동 430-27,7374.1,30896.3,제3종 일반주거지역,,6880.5,493.6,,,,,,공동주택,31.51,308.02,80,28,2,180,117,63,,46,,,46,,/servlet/image?url=images/assc/2021/06/202106101351591623300719713.png,/servlet/image?url=images/assc/2023/08/202308241421201692854480573.jpg,/servlet/image?url=images/assc/2023/08/202308241421201692854480773.jpg,2층 201호,02-907-1881
서울특별시 강북구 번동 427-63,강북구,번동 427-63,127.037043,37.63524245,,11305-900000787,번동,가로주택정비,조합,번동 5구역 가로주택 정비사업 조합,사업시행인가,운영,98,번동5구역 가로주택정비사업,강북구 번동 427-63,1012.7,42238.35,도시지역 제3종일반주거지역,,9621.3,505.7,,,,,,공동주택 및 부대복리시설,30.26,299.27,80,28,2,206,64,142,,92,,,92,,/servlet/image?url=images/assc/2021/06/202106091057511623203871192.png,/servlet/image?url=images/assc/2025/09/202509291615331759130133541.jpg,/servlet/image?url=images/assc/2025/09/202509291615341759130134684.jpg,2층,02-992-0426
서울특별시 관악구 신림동 675,관악구,신림동 675,,,NO_RESULT,11620-900001081,신림동,재개발(주택정비형),공공지원자,신림7구역 재개발정비사업,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
서울특별시 서초구 반포동 591-1,서초구,반포동 591-1,126.9962187,37.49654004,,11650-900000789,반포동,재건축,조합,강남원효성빌라 재건축정비사업조합,조합설립인가,운영,105,강남원효성빌라 주택재건축정비사업,서초구 반포동 591-1,24729,47251.05,제1종일반주거지역,,24125,604,0,0,0,0,0,공동주택 및 부대복리시설,53.16,109.69,13,4,2,103,,,103,0,,,,,/servlet/image?url=images/assc/2022/03/202203241104341648087474471.jpg,/servlet/image?url=images/assc/2022/04/202204271033331651023213259.png,/servlet/image?url=images/assc/2022/04/202204271033331651023213417.png,"서울특별시 서초구 서래로5길 17, 3층 (반포동)",02-534-0103
서울특별시 동대문구 용두동 753-9,동대문구,용두동 753-9,,,NO_RESULT,11230-100003010,용두동,재개발(주택정비형),조합,용두제6구역 주택재개발정비사업조합,조합해산,운영,470,용두제6구역 주택재개발정비사업조합,동대문구 용두동 753-9번지 ,53371,150487.26,제2종일반주거지역,일반미관지구(무학로변),43409,7177,1865,920,,,,아파트및부대복리시설,23.58,226.3,65,21,2,869,342,522,5,179,84,77,18,"정비(구역)계획 변경 고시문(2014.11.27)에 건축면적,동수 내용없음",/servlet/image/assc/2015/03/201503161102361426471356952.jpg,/servlet/image/assc/2015/11/201511121536061447310166206.jpg,/servlet/image/assc/2015/11/201511201506141447999574805.jpg,대광빌딩 4층,02-921-0183
서울특별시 동대문구 휘경동 128-12,동대문구,휘경동 128-12,,,NO_RESULT,11230-100006039,휘경동,재개발(주택정비형),조합,휘경2재정비촉진구역 주택재개발정비사업조합,조합해산,운영,442,휘경2재정비촉진구역,동대문구 휘경동 128-12번지 일대,43329,133637.18,제3종일반주거지역,일반미관지구,28587,6921,3402,3438,,,,공동주택,21.17,299.67,112,29,3,726,324,348,54,174,70,61,43,,/servlet/image/assc/2013/04/201304051730341365150634144.jpg,/servlet/image/assc/2011/07/201107051206181309835178637.jpg,/servlet/image/assc/2013/09/201309051716411378369001946.jpg,달란트 건물 3층,02-968-7225
서울특별시 동대문구 이문동 257-42,동대문구,이문동 257-42,127.0602302,37.60008364,,11230-100006043,이문동,재개발(주택정비형),조합,이문1재정비촉진구역 주택재개발정비사업조합,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829,17621,9228,0,0,0,2178,공동주택,30,247.6,75,27,5,2528,1235,1185,108,541,236,249,56,,/servlet/image?url=images/assc/2015/12/201512281459311451282371597.jpg,/servlet/image?url=images/assc/2021/09/202109011300231630468823283.jpg,/servlet/image?url=images/assc/2021/09/202109011301051630468865355.jpg,301호,02-960-2788
